ts,gpu_util,gpu_mem_used
1771750015.1584952,100.0,23260.25
1771750015.2593758,100.0,23260.25
1771750015.360276,100.0,23260.25
1771750015.461091,100.0,23260.25
1771750015.562064,100.0,23260.25
1771750015.6629262,100.0,23260.25
1771750015.7638495,100.0,23260.25
1771750015.9800806,100.0,23260.25
1771750016.0812864,80.0,23260.25
1771750016.1821427,80.0,23260.25
1771750016.2830794,0.0,23260.25
1771750016.3843005,0.0,23260.25
1771750016.4856637,100.0,23260.25
1771750016.586803,100.0,23260.25
1771750016.6880248,100.0,23260.25
1771750016.7890959,100.0,23260.25
1771750016.889941,100.0,23260.25
1771750016.9908943,100.0,23260.25
1771750017.0918024,100.0,23260.25
1771750017.1927269,100.0,23260.25
1771750017.2935777,100.0,23260.25
1771750017.3944721,100.0,23260.25
1771750017.4953961,100.0,23260.25
1771750017.5965512,100.0,23260.25
1771750017.6974514,42.0,23260.25
1771750017.798374,42.0,23260.25
1771750017.899224,0.0,23260.25
1771750018.000164,0.0,23260.25
1771750018.101071,61.0,23260.25
1771750018.2019765,61.0,23260.25
1771750018.3029048,100.0,23260.25
1771750018.4042075,100.0,23260.25
1771750018.5055475,100.0,23260.25
1771750018.606865,100.0,23260.25
1771750018.7081242,100.0,23260.25
1771750018.8095455,100.0,23260.25
1771750018.9104276,100.0,23260.25
1771750019.0113587,100.0,23260.25
1771750019.11222,100.0,23260.25
1771750019.2130806,100.0,23260.25
1771750019.3140059,100.0,23260.25
1771750019.4148724,100.0,23260.25
1771750019.5158105,100.0,23260.25
1771750019.6166775,100.0,23260.25
1771750019.717477,100.0,23260.25
1771750019.8183897,100.0,23260.25
1771750019.9192731,60.0,23260.25
1771750020.0201643,60.0,23260.25
1771750020.1210425,86.0,23260.25
1771750020.2219589,86.0,23260.25
1771750020.3231032,2.0,23260.25
1771750020.4245598,2.0,23260.25
1771750020.5257998,0.0,23260.25
1771750020.6270409,0.0,23260.25
1771750020.7279587,0.0,23260.25
1771750020.8288357,0.0,23260.25
1771750020.929719,0.0,23260.25
1771750021.0351038,0.0,23260.25
1771750021.1359391,0.0,23260.25
1771750021.2367613,0.0,23260.25
1771750021.3909557,0.0,23260.25
1771750021.4916599,0.0,23260.25
1771750021.5923846,0.0,23260.25
1771750021.693178,0.0,23260.25
1771750021.7939463,0.0,23260.25
1771750021.894807,0.0,23260.25
